VIDEO_URLS,TITLES,THUMBNAIL_URLS,TIME_OF_POSTING
https://www.youtube.com/watch?v=9ZVfDuqKIQM,How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,https://i.ytimg.com/vi/9ZVfDuqKIQM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCnJoDuIK1sTwOwMeVCK0TgqBMqWg,2 months ago
https://www.youtube.com/watch?v=1wMGzlQTyeM,How To Prepare For National Science Olympiad? 🔥 || A Complete Guide For Class 9th & 10th Students,https://i.ytimg.com/vi/1wMGzlQTyeM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCriEk9XKxmE8B9bV2i9bVMSBgSrg,2 months ago
https://www.youtube.com/watch?v=ivS0xPAbVUs,How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! 🔥,https://i.ytimg.com/vi/ivS0xPAbVUs/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDK11Y9cIabVtUjp1nmjPsbzGvtPQ,2 months ago
https://www.youtube.com/watch?v=UJb799ZLCwQ,Why Maximum Students WASTED their Class 11th? The HARSH TRUTH !!,https://i.ytimg.com/vi/UJb799ZLCwQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCybvaLSQPFcP0WWtgpRmcEvCF_ig,2 months ago
https://www.youtube.com/watch?v=RPCHRtdO9hg,Meet Bhakti Agrawal : The Topper of Our CBSE Board Class - 10th 2023 🔥,https://i.ytimg.com/vi/RPCHRtdO9hg/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCrk2Bz2QtjI49bCY2WslrJRXxPcA,2 months ago
https://www.youtube.com/watch?v=iN2UWJW3lzo,How To Plan Maths Strategy For Class -10th To Score 95%+ Marks || CBSE Boards 🔥,https://i.ytimg.com/vi/iN2UWJW3lzo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDsdt80zcMf4TIuaTmcc7fwf4-E5w,2 months ago
https://www.youtube.com/watch?v=lRle7Jzciq8,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCB6VmICIFkLrPomPaIlEkOgVqeFQ,2 months ago
https://www.youtube.com/watch?v=CPmcBN2xoxI,Olympiad Challengers Batch For Our Udaan & Victory Students || Class-10th🔥,https://i.ytimg.com/vi/CPmcBN2xoxI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDyTOvJxr9YutlcNhxSSbLaBHg-Ag,2 months ago
https://www.youtube.com/watch?v=mdZ4g2o7v9g,How to Join Indian Army After 10th ?? | Detailed Explanation 🔥🔥,https://i.ytimg.com/vi/mdZ4g2o7v9g/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBEPU6l8PFQrFPg3Py021b8ceJilw,2 months ago
https://www.youtube.com/watch?v=z3ko4cUOYO0,"PW की कहानी, TOPPERS की जुबानी || Celebrating the Success of Our Class-10th Toppers⚡🤩",https://i.ytimg.com/vi/z3ko4cUOYO0/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDcmwQCymqschlrZ7lD3qzyNUyOgg,2 months ago
https://www.youtube.com/watch?v=ZLgLCNKQwFw,Big Announcement For Class 10th HINDI MEDIUM Students 🔥 #Trailer💥,https://i.ytimg.com/vi/ZLgLCNKQwFw/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDWpfj9MbldRWZzE09juD81x0Od5A,2 months ago
https://www.youtube.com/watch?v=J7hFajBOmBo,India's Biggest Scholarship Test For All Students 🔥 || Watch This Video Now💯,https://i.ytimg.com/vi/J7hFajBOmBo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBauE5CyP5emr9GsUDWyqFhxXch7A,2 months ago
https://www.youtube.com/watch?v=PXb-jcA2TGA,How To Start Class-10th History & Civics  || ICSE Board || Follow This Strategy Plan 🔥,https://i.ytimg.com/vi/PXb-jcA2TGA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA1UqztEc3TUmV0niw1-O-_xs5b0g,2 months ago
https://www.youtube.com/watch?v=LxHAzwur8cI,How To Start Class-10th Geography || ICSE Board || Complete Roadmap For All Students🔥,https://i.ytimg.com/vi/LxHAzwur8cI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDAqLD0o1RW-77tDoxx5uMFH-_ieg,2 months ago
https://www.youtube.com/watch?v=sBXHecS1S1w,How To Start Class -10th Chemistry || ICSE Board || Complete Plan To Score 95%+ Marks,https://i.ytimg.com/vi/sBXHecS1S1w/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCUJyk5knWITlwPCwen44e6K2a3rA,2 months ago
https://www.youtube.com/watch?v=l6ZY90YnMy0,Complete Plan to Start Class-9th Science || Follow This Master Strategy to score more than 95% ⚡⚡,https://i.ytimg.com/vi/l6ZY90YnMy0/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDQSZEQCSm0wDNvxUP_sUtKu47Tmg,2 months ago
https://www.youtube.com/watch?v=33onjejJLDs,Best Way To Start Class -9th English 💥 || Master Strategy Plan || Follow this ⚡⚡,https://i.ytimg.com/vi/33onjejJLDs/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAWNunpttzuw5jc7xtcLrfcUo-_NA,2 months ago
https://www.youtube.com/watch?v=o3eOj-jhhfI,PWSAT Is Back Again!! 🔥 || India's Biggest Scholarship Test || Watch This ⚡⚡,https://i.ytimg.com/vi/o3eOj-jhhfI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAK9OHoHLrssLC60NPKXBYgy1FKAw,2 months ago
https://www.youtube.com/watch?v=ecGcmstmnGA,Finally The Wait is Over 🔥 || Icse Batch Coming Soon || Must Watch 🔥🔥,https://i.ytimg.com/vi/ecGcmstmnGA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDRZjb2ejRsSE_s_k5CqGvyRzVqYQ,3 months ago
https://www.youtube.com/watch?v=08WWij66k8A,Best Strategy To Start Class-9th SST || Don't Miss This Video🛑 || Complete Roadmap,https://i.ytimg.com/vi/08WWij66k8A/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBh7-D0-BWyzcTACRQFh4-FD7jLww,3 months ago
